game_pk,game_date,season,home_team,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
634557,2021-04-04,2021,COL,LAD,2021-04-04 13:10:00,13.0,2,4,6,1,18,11,8,268,80.6,3,42,0.0714,0.125,75.8,24.3,14.3,844.1,0.0,4.4,2.8,199.8,S,4.17,3.41,4.43
634611,2021-04-04,2021,DET,CLE,2021-04-04 13:10:00,13.0,3,9,12,5,15,6,12,263,81.6,4,48,0.0833,0.4167,58.8,14.9,48.3,999.8,0.0,8.1,5.0,99.0,E,-4.21,-6.31,-1.61
634593,2021-04-04,2021,KC,TEX,2021-04-04 13:10:00,13.0,3,7,10,3,23,4,16,273,82.3,3,47,0.0638,0.1875,76.3,24.6,45.3,986.1,0.0,20.3,12.6,202.0,S,18.72,20.31,14.87
634637,2021-04-04,2021,LAA,CWS,2021-04-04 17:37:00,17.0,7,4,11,3,17,11,15,328,82.4,4,52,0.0769,0.2,62.4,16.9,67.3,1009.8,0.0,10.5,6.5,190.0,S,8.57,10.11,6.0
634597,2021-04-04,2021,MIL,MIN,2021-04-04 13:10:00,13.0,2,8,10,3,17,8,16,319,85.6,3,52,0.0577,0.1875,61.9,16.6,55.3,995.6,0.0,18.1,11.2,135.0,SE,-18.1,-17.01,-17.01
634607,2021-04-04,2021,NYY,TOR,2021-04-04 13:05:00,13.0,1,3,4,2,11,4,10,277,84.2,6,53,0.1132,0.2,59.8,15.5,36.7,1014.9,0.0,12.5,7.7,302.7,NW,7.12,3.19,10.19
634617,2021-04-04,2021,PHI,ATL,2021-04-04 13:05:00,13.0,2,1,3,2,24,6,12,250,83.4,2,36,0.0556,0.1667,64.5,18.1,33.7,1015.4,0.0,16.3,10.1,320.0,NW,-7.54,-12.04,-2.13
634572,2021-04-04,2021,SD,AZ,2021-04-04 13:10:00,13.0,1,3,4,1,15,11,12,299,81.2,2,49,0.0408,0.0833,67.6,19.8,54.0,1016.2,0.0,15.8,9.8,281.7,W,-3.2,-8.31,2.29
634600,2021-04-05,2021,ATH,LAD,2021-04-05 18:40:00,18.0,3,10,13,3,18,12,20,367,83.0,3,58,0.0517,0.15,49.4,9.7,89.3,1015.8,0.0,11.5,7.1,253.7,W,10.09,7.6,11.37
634601,2021-04-05,2021,BOS,TB,2021-04-05 19:10:00,19.0,11,2,13,1,16,9,23,326,85.1,3,54,0.0556,0.0435,49.8,9.9,42.3,1009.0,0.0,17.5,10.9,324.7,NW,-2.93,-8.65,3.13
634566,2021-04-05,2021,CHC,MIL,2021-04-05 18:40:00,18.0,5,3,8,4,18,5,9,266,81.9,5,40,0.125,0.4444,62.8,17.1,60.0,989.7,0.0,18.6,11.5,174.5,S,11.81,16.0,6.2
634558,2021-04-05,2021,CIN,PIT,2021-04-05 18:40:00,18.0,5,3,8,5,28,8,13,306,81.8,6,37,0.1622,0.3846,65.1,18.4,51.3,996.9,0.0,9.3,5.8,210.7,SW,1.33,4.41,-1.91
634616,2021-04-05,2021,CLE,KC,2021-04-05 16:10:00,16.0,0,3,3,1,14,10,10,266,80.8,2,46,0.0435,0.1,52.3,11.3,75.0,992.3,0.9,15.9,9.9,77.7,E,-3.39,2.12,-8.5
